#Gn	Domain	Start	End	Eval
ATP11B	Cation_ATPase	518	605	4.6e-11
ATP11B	E1-E2_ATPase	123	364	1.3e-09
ATP11B	Hydrolase	806	837	0.026
ATP11B	PhoLip_ATPase_C	847	1100	4.1e-79
ATP11B	PhoLip_ATPase_N	36	90	5.1e-21
ATP11C	Cation_ATPase	473	577	4.3e-10
ATP11C	E1-E2_ATPase	124	372	8.2e-11
ATP11C	PhoLip_ATPase_C	845	1093	6.4e-73
ATP11C	PhoLip_ATPase_N	40	94	4.4e-22
ATP12A	Cation_ATPase	441	536	9e-25
ATP12A	Cation_ATPase_C	814	1024	2.7e-39
ATP12A	Cation_ATPase_N	59	126	2.1e-14
ATP12A	E1-E2_ATPase	178	369	1.2e-46
ATP12A	Hydrolase	616	676	2.5
ATP12A	Hydrolase	673	744	7e-06
ATP12A	Hydrolase	725	772	0.00024
ATP13A1	E1-E2_ATPase	297	510	1.2e-22
ATP13A1	Hydrolase	528	762	2.1e-09
ATP13A1	Hydrolase	833	876	0.00067
ATP13A1	Hydrolase	859	891	0.12
ATP13A2	E1-E2_ATPase	295	491	2.2e-33
ATP13A2	Hydrolase	509	765	6.2e-10
ATP13A2	Hydrolase	850	890	0.0068
ATP13A2	P5-ATPase	34	175	1.3e-23
ATP13A3	Cation_ATPase_C	966	1162	3.5e-08
ATP13A3	Cation_ATPase_N	176	226	3.5e-05
ATP13A3	E1-E2_ATPase	275	475	8.2e-36
ATP13A3	Hydrolase	493	786	4.6e-10
ATP13A3	Hydrolase	855	894	0.016
ATP13A3	P5-ATPase	13	150	1.4e-41
ATP13A4	Cation_ATPase_N	161	217	1.2e-08
ATP13A4	DUF2620	838	898	0.034
ATP13A4	E1-E2_ATPase	262	464	2.2e-32
ATP13A4	Hydrolase	481	744	8.1e-08
ATP13A4	Hydrolase	815	859	0.12
ATP13A4	P5-ATPase	16	141	1.8e-29
ATP13A5	Cation_ATPase_N	163	211	6.4e-07
ATP13A5	E1-E2_ATPase	263	464	1.4e-33
ATP13A5	Hydrolase	480	734	1.4e-09
ATP13A5	Hydrolase	820	861	0.014
ATP13A5	P5-ATPase	17	142	3.7e-28
ATP1A1	Cation_ATPase	427	521	9.5e-23
ATP1A1	Cation_ATPase_C	799	1008	2.7e-44
ATP1A1	Cation_ATPase_N	44	111	1.2e-16
ATP1A1	E1-E2_ATPase	164	354	7e-45
ATP1A1	Hydrolase	712	756	0.00066
ATP1A2	Cation_ATPase	425	518	1.9e-22
ATP1A2	Cation_ATPase_C	796	1005	1.4e-43
ATP1A2	Cation_ATPase_N	42	109	2.4e-16
ATP1A2	E1-E2_ATPase	162	352	1.7e-45
ATP1A2	Hydrolase	709	754	0.0015
ATP1A3	Cation_ATPase	417	511	2e-23
ATP1A3	Cation_ATPase_C	789	998	3.1e-44
ATP1A3	Cation_ATPase_N	33	101	4.8e-17
ATP1A3	E1-E2_ATPase	154	344	7e-45
ATP1A3	Hydrolase	702	746	0.00059
ATP1A4	Cation_ATPase	435	527	3.5e-22
ATP1A4	Cation_ATPase_C	805	1014	6.2e-45
ATP1A4	Cation_ATPase_N	52	119	4.5e-12
ATP1A4	E1-E2_ATPase	172	362	7.7e-45
ATP1A4	Hydrolase	718	763	0.0017
ATP1B1	Na_K-ATPase	6	296	3.5e-102
ATP1B2	Na_K-ATPase	7	283	4.9e-108
ATP1B3	Na_K-ATPase	6	273	5.4e-95
ATP1B4	Na_K-ATPase	82	351	2.7e-94
ATP23	Peptidase_M76	51	219	2.2e-56
ATP2A1	Cation_ATPase	418	528	7.1e-19
ATP2A1	Cation_ATPase_C	784	987	6.5e-45
ATP2A1	Cation_ATPase_N	5	72	3.1e-19
ATP2A1	E1-E2_ATPase	123	329	6.4e-54
ATP2A1	Hydrolase	686	743	1.1e-05
ATP2A2	Cation_ATPase	418	527	4.4e-20
ATP2A2	Cation_ATPase_C	783	986	1.1e-46
ATP2A2	Cation_ATPase_N	5	72	2.9e-16
ATP2A2	E1-E2_ATPase	123	329	4.1e-54
ATP2A2	HAD	601	711	0.0065
ATP2A2	Hydrolase	685	742	1.8e-05
ATP2A3	Cation_ATPase	418	528	7.8e-20
ATP2A3	Cation_ATPase_C	784	987	2.3e-47
ATP2A3	Cation_ATPase_N	5	72	8.2e-18
ATP2A3	E1-E2_ATPase	123	329	6.2e-54
ATP2A3	HAD	604	712	0.0074
ATP2A3	Hydrolase	687	744	1.8e-06
ATP2B1	ATP_Ca_trans_C	1103	1149	2.2e-26
ATP2B1	Cation_ATPase	531	612	9e-18
ATP2B1	Cation_ATPase_C	880	1058	6.8e-45
ATP2B1	Cation_ATPase_N	53	121	7.2e-15
ATP2B1	E1-E2_ATPase	191	293	1e-24
ATP2B1	E1-E2_ATPase	355	452	9.4e-09
ATP2B1	Hydrolase	470	493	3.4
ATP2B1	Hydrolase	675	809	2e-10
ATP2B1	Hydrolase	771	841	8.6e-05
ATP2B2	ATP_Ca_trans_C	1126	1172	1.2e-25
ATP2B2	Cation_ATPase	544	637	9.9e-18
ATP2B2	Cation_ATPase_C	903	1081	4.2e-45
ATP2B2	Cation_ATPase_N	51	118	8.3e-14
ATP2B2	E1-E2_ATPase	189	290	6.5e-24
ATP2B2	E1-E2_ATPase	377	476	5.1e-09
ATP2B2	Hydrolase	794	864	3.9e-05
ATP2B3	ATP_Ca_trans_C	1100	1146	2.8e-24
ATP2B3	Cation_ATPase	528	612	2.2e-18
ATP2B3	Cation_ATPase_C	877	1055	2.4e-46
ATP2B3	Cation_ATPase_N	53	121	1.7e-15
ATP2B3	E1-E2_ATPase	192	293	3.9e-25
ATP2B3	E1-E2_ATPase	350	450	4e-09
ATP2B3	Hydrolase	769	838	8.6e-05
ATP2B4	ATP_Ca_trans_C	1089	1123	2.2e-15
ATP2B4	ATP_Ca_trans_C	1126	1171	1.4e-16
ATP2B4	Cation_ATPase	520	603	6.5e-20
ATP2B4	Cation_ATPase_C	868	1046	2.4e-44
ATP2B4	Cation_ATPase_N	47	116	1.4e-16
ATP2B4	E1-E2_ATPase	187	287	5.7e-25
ATP2B4	E1-E2_ATPase	340	442	2.1e-09
ATP2B4	Hydrolase	649	797	5.4e-12
ATP2B4	Hydrolase	761	829	0.00017
ATP2C1	Cation_ATPase_C	726	897	8.6e-46
ATP2C1	Cation_ATPase_N	27	94	7.1e-18
ATP2C1	E1-E2_ATPase	133	328	2.1e-50
ATP2C1	Hydrolase	345	656	5.8e-22
ATP2C1	Hydrolase	627	685	0.00039
ATP2C2	Cation_ATPase_C	756	928	4e-44
ATP2C2	Cation_ATPase_N	62	125	7.2e-16
ATP2C2	E1-E2_ATPase	164	357	5.1e-49
ATP2C2	Hydrolase	375	686	9.3e-17
ATP2C2	Hydrolase	657	718	0.0036
ATP4A	Cation_ATPase	437	532	1e-21
ATP4A	Cation_ATPase_C	810	1019	8.9e-40
ATP4A	Cation_ATPase_N	55	122	2.5e-14
ATP4A	E1-E2_ATPase	175	365	1.7e-44
ATP4A	H-K_ATPase_N	2	43	1e-21
ATP4A	Hydrolase	723	768	0.00026
ATP4B	Na_K-ATPase	7	285	2.5e-98
ATP5F1A	ATP-synt_ab	192	415	5.9e-73
ATP5F1A	ATP-synt_ab_C	422	547	1.8e-47
ATP5F1A	ATP-synt_ab_N	69	135	2e-16
ATP5F1B	ATP-synt_ab	186	405	3e-63
ATP5F1B	ATP-synt_ab_N	63	129	1e-21
ATP5F1C	ATP-synt	27	297	4.3e-79
ATP5F1D	ATP-synt_DE_N	38	119	7e-16
ATP5F1E	ATP-synt_Eps	3	50	4.7e-21
ATP5F1EP2	ATP-synt_Eps	3	50	8.1e-20
ATP5IF1	IATP	35	94	1.7e-16
ATP5MC1	ATP-synt_C	70	132	1e-10
ATP5MC2	ATP-synt_C	75	137	1.1e-10
ATP5MC3	ATP-synt_C	76	138	1.1e-10
ATP5MD	ATP_synth_reg	1	51	1.4e-28
ATP5ME	ATP-synt_E	3	61	6.5e-18
ATP5MF	WRW	14	89	8.2e-19
ATP5MG	ATP-synt_G	11	102	4.4e-27
ATP5MGL	ATP-synt_G	11	100	2.1e-19
ATP5MPL	Mit_proteolip	1	57	8.6e-39
ATP5PB	Mt_ATP-synt_B	83	244	4.3e-46
ATP5PD	Mt_ATP-synt_D	3	155	2.1e-66
ATP5PF	ATP-synt_F6	1	97	3.2e-44
ATP5PO	OSCP	37	209	9.7e-48
ATP6AP1	ATP-synt_S1	322	468	6.3e-53
ATP6AP1L	ATP-synt_S1	43	183	5.6e-36
ATP6AP2	Renin_r	254	350	9.7e-37
ATP6V0A1	V_ATPase_I	27	827	0
ATP6V0A2	V_ATPase_I	28	842	0
ATP6V0A4	V_ATPase_I	28	830	0
ATP6V0B	ATP-synt_C	138	196	2.2e-14
ATP6V0B	ATP-synt_C	52	111	2.7e-13
ATP6V0C	ATP-synt_C	17	76	2.5e-14
ATP6V0C	ATP-synt_C	93	152	1.4e-22
ATP6V0D1	vATP-synt_AC39	16	347	2.3e-114
ATP6V0D2	vATP-synt_AC39	16	346	2.6e-106
ATP6V0E1	ATP_synt_H	10	69	2.2e-21
ATP6V0E2	ATP_synt_H	9	69	2.5e-24
ATP6V1A	ATP-synt_ab	230	455	5.6e-109
ATP6V1A	ATP-synt_ab_N	23	83	1.8e-14
ATP6V1A	ATP-synt_ab_Xtn	99	221	2e-43
ATP6V1B1	ATP-synt_ab	167	393	2.5e-62
ATP6V1B1	ATP-synt_ab_N	44	110	5.4e-12
ATP6V1B2	ATP-synt_ab	173	399	2.4e-64
ATP6V1B2	ATP-synt_ab_N	50	116	6.8e-13
ATP6V1C1	V-ATPase_C	4	370	1.1e-167
ATP6V1C2	V-ATPase_C	4	417	3.6e-158
ATP6V1D	ATP-synt_D	17	207	2.3e-73
ATP6V1E1	vATP-synt_E	18	216	2.5e-78
ATP6V1E2	vATP-synt_E	18	216	1.2e-68
ATP6V1F	ATP-synt_F	8	108	2.4e-32
ATP6V1G1	V-ATPase_G	3	106	1.4e-39
ATP6V1G2	V-ATPase_G	3	106	4.2e-37
ATP6V1G3	V-ATPase_G	3	107	4.1e-37
ATP6V1H	V-ATPase_H_C	349	464	3.6e-46
ATP6V1H	V-ATPase_H_N	19	342	2.6e-102
ATP7A	E1-E2_ATPase	816	1021	3.6e-48
ATP7A	HMA	102	142	0.93
ATP7A	HMA	11	72	1.9e-14
ATP7A	HMA	176	234	6.4e-12
ATP7A	HMA	280	337	7.3e-14
ATP7A	HMA	380	441	4.3e-14
ATP7A	HMA	493	551	2.7e-09
ATP7A	HMA	570	628	1.1e-13
ATP7A	Hydrolase	1038	1313	2.5e-63
ATP7A	Hydrolase	1287	1343	3.5e-05
ATP7B	E1-E2_ATPase	798	1004	5.1e-47
ATP7B	HMA	147	206	2.4e-10
ATP7B	HMA	261	318	8.5e-13
ATP7B	HMA	363	423	7.7e-14
ATP7B	HMA	492	552	9.1e-11
ATP7B	HMA	569	628	6.8e-13
ATP7B	HMA	61	106	6.5e-11
ATP7B	Hydrolase	1021	1279	2.3e-65
ATP7B	Hydrolase	1253	1309	1e-05
ATP8A1	Cation_ATPase	486	582	1.7e-12
ATP8A1	E1-E2_ATPase	131	320	4.2e-08
ATP8A1	Hydrolase	576	695	0.00039
ATP8A1	Hydrolase	796	818	0.012
ATP8A1	PhoLip_ATPase_C	827	1078	7.3e-84
ATP8A1	PhoLip_ATPase_N	41	102	2e-25
ATP8A2	Cation_ATPase	513	603	1.4e-13
ATP8A2	E1-E2_ATPase	150	343	3.6e-10
ATP8A2	Hydrolase	651	712	0.019
ATP8A2	PhoLip_ATPase_C	848	1098	7.4e-81
ATP8A2	PhoLip_ATPase_N	58	121	3.1e-25
ATP8B1	Cation_ATPase	537	629	3.6e-12
ATP8B1	E1-E2_ATPase	173	408	7.2e-09
ATP8B1	Hydrolase	857	909	0.0022
ATP8B1	PhoLip_ATPase_C	919	1173	1.1e-85
ATP8B1	PhoLip_ATPase_N	66	145	8.2e-26
ATP8B2	Cation_ATPase	492	591	7.5e-12
ATP8B2	E1-E2_ATPase	131	365	2.8e-06
ATP8B2	Hydrolase	821	849	0.0013
ATP8B2	PhoLip_ATPase_C	859	1112	2e-88
ATP8B2	PhoLip_ATPase_N	36	101	1e-27
ATP8B3	Cation_ATPase	590	670	1.2e-10
ATP8B3	E1-E2_ATPase	217	449	9.8e-08
ATP8B3	Hydrolase	683	772	1.5e-06
ATP8B3	Hydrolase	933	956	0.0025
ATP8B3	PhoLip_ATPase_C	965	1210	1.2e-69
ATP8B3	PhoLip_ATPase_N	110	184	2.1e-24
ATP8B4	Cation_ATPase	473	569	2.3e-09
ATP8B4	E1-E2_ATPase	111	325	2.8e-05
ATP8B4	Hydrolase	804	831	0.0027
ATP8B4	PhoLip_ATPase_C	841	1095	6.8e-88
ATP8B4	PhoLip_ATPase_N	15	81	1.9e-29
ATP9A	Cation_ATPase	490	571	1.2e-07
ATP9A	E1-E2_ATPase	142	348	6.8e-11
ATP9A	Hydrolase	761	796	0.011
ATP9A	PhoLip_ATPase_C	812	1039	5.3e-51
ATP9A	PhoLip_ATPase_N	46	105	1.5e-18
ATP9B	E1-E2_ATPase	224	426	4.2e-13
ATP9B	Hydrolase	466	886	3.8e-11
ATP9B	PhoLip_ATPase_C	901	1139	1.1e-52
ATP9B	PhoLip_ATPase_N	127	183	8.6e-19
ATPAF1	ATP11	78	307	8.6e-44
ATPAF2	ATP12	47	166	1e-37
ATPSCKMT	Methyltransf	86	123	0.0011
ATR	FAT	1773	2092	5.7e-51
ATR	FATC	2613	2644	2e-13
ATR	HEAT	1290	1367	1.3
ATRN	CUB	132	245	6.8e-13
ATRN	EGF	101	129	0.007
ATRN	EGF	250	280	0.008
ATRN	Kelch	340	382	3.5e-05
ATRN	Kelch	392	436	2e-06
ATRN	Kelch	475	508	0.43
ATRN	Kelch	502	548	0.097
ATRN	Kelch	554	604	2.9e-05
ATRN	Kelch	614	644	0.001
ATRN	Kelch	614	644	0.0062
ATRNL1	CUB	93	206	9.6e-11
ATRNL1	EGF	211	244	0.028
ATRNL1	EGF	249	280	0.00013
ATRNL1	Kelch	303	328	0.17
ATRNL1	Kelch	352	392	8.2e-09
ATRNL1	Kelch	469	514	0.00035
ATRNL1	Kelch	520	573	0.0008
ATRNL1	Kelch	581	613	1.6e-05
ATRNL1	Laminin_EGF	1014	1057	0.00079
ATRNL1	Laminin_EGF	1060	1094	0.14
ATRNL1	Laminin_EGF	63	98	0.64
ATRNL1	Lectin_C	766	874	3.1e-17
ATRNL1	PSI	666	703	0.0018
ATRNL1	PSI	716	749	0.21
ATRNL1	PSI	890	938	3.6e-06
ATRNL1	PSI	942	1012	2.4e-13
ATRNL1	TMEM100	1220	1266	0.017
ATRN	Laminin_EGF	1063	1106	0.0018
ATRN	Laminin_EGF	1109	1142	0.1
ATRN	Lectin_C	806	920	1.2e-15
ATRN	PSI	647	686	0.027
ATRN	PSI	703	748	0.0013
ATRN	PSI	756	787	1
ATRN	PSI	933	983	4.6e-05
ATRN	PSI	986	1061	6.7e-13
ATR	PI3_PI4_kinase	2324	2566	5.1e-58
ATR	UME	1122	1222	1.5e-18
ATRX	ADD_ATRX	158	213	1.5e-30
ATRX	Helicase_C	2022	2155	1.2e-14
ATRX	SNF2-rel_dom	1563	1888	5.8e-71
ATXN10	Atx10homo_assoc	370	460	9.2e-35
ATXN10	Atx10homo_assoc	86	116	1.4
ATXN1	ATXN-1_C	1	558	5.8e-195
ATXN1	AXH	574	686	9.7e-41
ATXN1L	ATXN-1_C	1	222	1.5e-19
ATXN1L	AXH	469	580	1.7e-39
ATXN2L	LsmAD	264	332	5.1e-17
ATXN2L	PAM2	654	668	3e-05
ATXN2	LsmAD	409	476	4e-15
ATXN2L	SM-ATX	120	194	5.3e-19
ATXN2	PAM2	909	925	3.6e-06
ATXN2	SM-ATX	265	341	9.3e-21
ATXN2	TFIIA	163	209	0.00091
ATXN3	Josephin	9	166	9.1e-55
ATXN3L	Josephin	9	166	6.4e-53
ATXN3L	SUIM_assoc	261	324	1.2e-26
ATXN3L	UIM	224	239	0.00012
ATXN3L	UIM	243	257	7.5
ATXN3	SUIM_assoc	263	329	1.7e-31
ATXN3	UIM	224	239	0.00012
ATXN3	UIM	244	259	4.6e-05
ATXN3	UIM	335	350	0.01
ATXN7L1	SCA7	277	344	6.8e-28
ATXN7L2	SCA7	227	290	1.4e-24
ATXN7L3	SCA7	207	237	8e-07
ATXN7L3	Sgf11	80	112	6e-18
ATXN7	SCA7	333	394	6.5e-27
AUH	ECH	84	338	3.2e-57
AUNIP	AIB	26	350	1e-182
AUP1	CUE	301	336	1.6e-09
AURKAIP1	DUF1713	127	157	1.5e-12
AURKA	Pkinase	133	383	4.2e-70
AURKB	Pkinase	77	327	1.4e-70
AURKC	Pkinase	43	293	5.6e-69
AUTS2	Auts2	645	857	1.6e-101
AVIL	Gelsolin	144	215	4e-15
AVIL	Gelsolin	26	105	6.2e-18
AVIL	Gelsolin	265	339	1.4e-13
AVIL	Gelsolin	407	486	9.3e-15
AVIL	Gelsolin	524	592	2.3e-07
AVIL	Gelsolin	629	704	2.2e-13
AVIL	VHP	784	819	3.4e-16
AVL9	Avl9	16	519	1.7e-162
AVP	Hormone	20	28	0.00018
AVP	Hormone	39	116	3.5e-26
AVPI1	TC1	1	75	1.4e-30
AVPR1A	7tm	68	348	2.4e-49
AVPR1A	DUF1856	372	418	6.9e-24
AVPR1B	7tm	51	338	2.4e-48
AVPR1B	DUF1856	364	412	9.3e-05
AVPR2	7tm	55	325	5.2e-50
AWAT1	DAGAT	35	327	1.2e-111
AWAT2	DAGAT	39	332	6.3e-105
AXDND1	Ax_dynein_light	212	367	2.3e-08
AXIN1	AXIN1_TNKS_BD	11	82	2.1e-25
AXIN1	Axin_b-cat_bind	465	496	5.5e-13
AXIN1	DIX	783	858	3.6e-28
AXIN1	RGS	88	210	1.3e-25
AXIN2	AXIN1_TNKS_BD	10	75	6.7e-25
AXIN2	Axin_b-cat_bind	433	469	1.8e-18
AXIN2	DIX	764	839	4.2e-26
AXIN2	RGS	81	199	4.1e-27
AXL	fn3	227	319	7.7e-07
AXL	fn3	336	418	1.8e-08
AXL	Ig	145	223	6.1e-06
AXL	Ig	46	119	2e-07
AXL	PK_Tyr_Ser-Thr	537	803	2.8e-90
AZGP1	C1-set	215	287	2e-12
AZGP1	MHC_I	26	201	3.4e-69
AZI2	TBD	214	265	1.3e-20
AZIN1	Orn_Arg_deC_N	45	278	6.6e-84
AZIN1	Orn_DAP_Arg_deC	275	385	1.8e-20
AZIN2	Orn_Arg_deC_N	47	281	2.9e-75
AZIN2	Orn_DAP_Arg_deC	212	388	1.7e-16
AZU1	Trypsin	27	239	1.4e-49
B2M	C1-set	27	106	1.9e-22
B3GALNT1	Galactosyl_T	92	282	3.9e-64
B3GALNT2	Galactosyl_T	308	455	5.6e-24
B3GALNT2	Galactosyl_T	67	97	0.6
B3GALT1	B3GALT2_N	57	81	3.3e-05
B3GALT1	Galactosyl_T	93	281	1.2e-60
B3GALT2	B3GALT2_N	75	154	1.6e-30
B3GALT2	Galactosyl_T	166	357	2.1e-66
B3GALT4	Galactosyl_T	85	308	4.1e-49
B3GALT5	Galactosyl_T	72	260	7e-59
B3GALT6	Galactosyl_T	71	259	2.2e-28
B3GALT9	Galactosyl_T	99	287	1.5e-36
B3GAT1	Glyco_transf	105	315	4.8e-74
B3GAT2	Glyco_transf	101	304	1.2e-69
B3GAT3	Glyco_transf	96	312	4.5e-67
B3GLCT	Fringe	120	208	4e-05
B3GLCT	Fringe	263	471	4.8e-60
B3GNT2	Galactosyl_T	156	348	1.8e-40
B3GNT3	Galactosyl_T	122	311	2.9e-42
B3GNT4	Galactosyl_T	132	321	7e-43
B3GNT5	Galactosyl_T	102	299	6.2e-47
B3GNT6	Galactosyl_T	131	323	6.9e-43
B3GNT7	Galactosyl_T	148	343	3.8e-48
B3GNT8	Galactosyl_T	163	349	1.6e-27
B3GNT9	Galactosyl_T	130	331	7.1e-36
B3GNTL1	Glycos_transf	21	192	1.4e-23
B4GALNT1	Glycos_transf	281	424	2.6e-15
B4GALNT2	Glycos_transf	325	431	2.9e-15
B4GALNT3	CHGN	668	986	1.1e-25
B4GALNT3	PA14	160	269	5.7e-06
B4GALNT4	CHGN	716	1022	2.8e-24
B4GALNT4	PA14	159	263	0.0058
B4GALT1	Glyco_transf_7C	267	343	1.3e-29
B4GALT1	Glyco_transf_7N	130	262	1.1e-59
B4GALT2	Glyco_transf_7C	235	311	1.3e-31
B4GALT2	Glyco_transf_7N	97	230	8e-56
B4GALT3	Glyco_transf_7C	215	292	5.3e-30
B4GALT3	Glyco_transf_7N	77	210	1.2e-57
B4GALT4	Glyco_transf_7C	213	289	1.6e-27
B4GALT4	Glyco_transf_7N	77	209	8.5e-59
B4GALT5	Glyco_transf_7C	253	329	2.3e-29
B4GALT5	Glyco_transf_7N	114	248	1.8e-55
B4GALT6	Glyco_transf_7C	247	323	4.7e-28
B4GALT6	Glyco_transf_7N	108	242	3.8e-55
B4GALT7	Glyco_transf_7C	182	257	6.7e-26
B4GALT7	Glyco_transf_7N	84	175	9.3e-22
B4GAT1	Glyco_transf	94	409	4.1e-103
B9D1	B9-C2	11	174	7.2e-54
B9D2	B9-C2	4	161	1.2e-57
BAALC	BAALC_N	1	50	2.9e-32
BAAT	BAAT_C	206	411	1.5e-72
BAAT	Bile_Hydr_Trans	14	144	2.8e-43
BABAM2	BRE	8	333	5.6e-143
BACE1	Asp	75	416	7.5e-45
BACE2	Asp	92	430	1.4e-46
BACH1	BTB	24	127	2.9e-24
BACH1	bZIP_Maf	531	606	5.6e-15
BACH1	Cep57_CLD	585	624	0.016
BACH2	BTB	27	132	3e-27
BACH2	bZIP_Maf	618	696	9.4e-13
BAD	Bcl-2_BAD	1	168	7.1e-92
BAG1	BAG	239	324	6.3e-06
BAG1	ubiquitin	169	221	2.6e-07
BAG3	BAG	426	496	5.9e-18
BAG3	WW	22	52	2.9e-09
BAG4	BAG	385	454	3.7e-17
BAG5	BAG	13	84	7.2e-13
BAG5	BAG	209	257	1.1e-07
BAG5	BAG	279	348	8.6e-09
BAG5	BAG	377	440	4.1e-16
BAG6	BAG6	277	391	3.7e-43
BAG6	ubiquitin	19	87	6e-16
BAGE2	BAGE	1	28	2.5e-12
BAGE3	BAGE	1	28	2.5e-12
BAGE4	BAGE	1	28	4.7e-14
BAGE5	BAGE	1	28	6.3e-14
BAGE	BAGE	1	28	4.3e-15
BAHCC1	BAH	2513	2630	7.9e-16
BAHCC1	Tudor	1979	2032	0.00013
BAHD1	BAH	624	771	2.8e-13
BAIAP2	IMD	17	237	2.8e-103
BAIAP2L1	IMD	16	236	1.6e-64
BAIAP2L1	SH3	348	398	6.6e-10
BAIAP2L2	IMD	16	226	3.1e-94
BAIAP2L2	SH3	340	383	1.1e-08
BAIAP2	SH3	378	431	1.7e-08
BAIAP3	C2	1026	1123	2.6e-14
BAIAP3	C2	197	298	8.4e-12
BAIAP3	MUN	696	972	5.4e-08
BAK1	Bcl-2	78	177	5.2e-31
BAMBI	BAMBI	4	111	2.6e-64
BAMBI	BAMBI_C	123	260	8.6e-85
BANF1	BAF	1	88	1.9e-45
BANF2	BAF	3	89	1.4e-33
BANK1	DBB	199	328	8.9e-23
BANK1	TIR	28	154	2.6e-44
BANP	BEN	250	318	1.1e-07
BAP18	Myb_DNA-bind	40	80	0.00042
BAP1	Peptidase_C12	5	214	9.9e-69
BAP1	UCH_C	643	688	3.2e-17
BARD1	Ank	432	522	1.1e-20
BARD1	BRCT	575	640	0.0019
BARD1	BRCT	669	776	1.8e-05
BARD1	zf-RING	41	105	6.9e-44
BARGIN	BAR	41	258	3.4e-32
BARGIN	Hydrolase_like	592	670	1.7e-19
BARGIN	RhoGAP	300	446	6.5e-44
BARHL1	Homeodomain	179	235	7.8e-22
BARHL2	Homeodomain	233	289	4.8e-21
BARX1	Homeodomain	143	199	4.9e-21
BARX2	Homeodomain	134	190	5.5e-21
BASP1	BASP1	2	227	1.2e-75
BATF2	bZIP	16	69	5.3e-10
BATF3	bZIP	35	93	4.4e-12
BATF	bZIP	27	81	8.4e-13
BAX	Bcl-2	63	158	3.2e-25
BAZ1A	Bromodomain	1439	1519	1.5e-19
BAZ1A	DDT	424	483	1.2e-13
BAZ1A	PHD	1150	1197	3.1e-13
BAZ1A	WAC_Acf1_DNA_bd	23	122	6.2e-32
BAZ1A	WHIM1	591	635	4.3e-11
BAZ1A	WSD	801	926	2e-32
BAZ1B	Bromodomain	1348	1429	4.6e-20
BAZ1B	DDT	607	665	0.0041
BAZ1B	PHD	1186	1233	1.1e-12
BAZ1B	WAC_Acf1_DNA_bd	22	119	1.8e-24
BAZ1B	WHIM1	727	767	8.8e-08
BAZ1B	WSD	898	1024	1.1e-23
BAZ2A	Bromodomain	1802	1881	2.8e-19
BAZ2A	DDT	850	910	9.4e-10
BAZ2A	MBD	548	618	7.2e-20
BAZ2A	PHD	1679	1724	2.4e-10
BAZ2A	WHIM1	952	993	0.00014
BAZ2A	WSD	1112	1152	7.2e-06
BAZ2A	WSD	1431	1472	7.7e-07
BAZ2B	Bromodomain	2069	2146	1.7e-20
BAZ2B	DDT	1089	1149	3.3e-09
BAZ2B	MBD	741	811	3.8e-20
BAZ2B	Na_trans_assoc	508	660	0.0049
BAZ2B	PHD	1933	1980	3.8e-11
BAZ2B	WSD	1373	1462	1.9e-07
BAZ2B	WSD	1713	1751	0.00021
BBC3	PUMA	2	193	3.5e-97
BBIP1	BBIP10	23	85	2.2e-30
BBOF1	DUF4515	77	270	2.1e-56
BBOX1	GBBH-like_N	15	91	4.4e-12
BBOX1	TauD	116	366	7.2e-44
BBS10	Cpn60_TCP1	158	427	1.3e-09
BBS10	Cpn60_TCP1	21	101	5.1e-16
BBS10	Cpn60_TCP1	597	706	0.028
BBS12	Cpn60_TCP1	25	133	5.1e-05
BBS12	Cpn60_TCP1	287	563	4.7e-11
BBS1	BBS1	23	276	2.7e-99
BBS1	BBS2_Mid	300	395	0.013
BBS2	BBS2_C	276	715	2.5e-189
BBS2	BBS2_Mid	165	272	5.9e-46
BBS2	BBS2_N	20	126	1.5e-43
BBS4	TPR	110	145	3.1e-06
BBS4	TPR	138	197	1.9e-06
BBS4	TPR	175	216	3.9e-09
BBS4	TPR	203	235	0.00017
BBS4	TPR	203	235	0.16
BBS4	TPR	272	296	0.00041
BBS4	TPR	283	343	0.0051
BBS4	TPR	315	364	0.0033
BBS4	TPR	353	395	0.38
BBS4	TPR	73	130	0.47
BBS5	BBL5	7	339	2.2e-154
BBS7	BBS2_Mid	207	268	0.0022
BBS9	PHTB1_C	441	819	4.1e-154
BBS9	PHTB1_N	1	417	1.7e-166
BBX	DUF2028	191	304	4e-44
BBX	DUF2028	290	320	1.2e-07
BBX	HMG_box	81	148	1.4e-16
BCAM	C2-set	151	248	1.8e-25
BCAM	Ig	275	340	6.3e-08
BCAM	Ig	378	436	3.5e-07
BCAM	Ig	464	531	3.3e-06
BCAM	V-set	319	358	0.25
BCAM	V-set	38	143	2.5e-06
BCAN	EGF	650	679	1.5e-06
BCAN	Lectin_C	706	809	6.7e-21
BCAN	Sushi	815	871	7.2e-07
BCAN	V-set	43	154	3.4e-12
BCAN	Xlink	158	251	3.5e-30
BCAN	Xlink	264	353	6.1e-27
BCAP29	Bap31	1	131	1.4e-45
BCAP29	Bap31_Bap29_C	122	162	0.95
BCAP29	Bap31_Bap29_C	185	239	2.9e-10
BCAP31	Bap31	1	135	4.8e-46
BCAP31	Bap31_Bap29_C	188	246	2.7e-15
BCAR1	CAS_C	655	864	3e-77
BCAR1	Serine_rich	454	608	2.4e-43
BCAR1	SH3	9	56	2.8e-13
BCAR3	RasGEF	595	701	6.4e-11
